"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 11 21:36:47 PDT 2023","Sun Jun 11 21:36:47 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.SignInPageTest","com.dsalgo.qa.testcase.SignInPageTest","LoginUserwithValidCredentialsValidationTest","Verifying user is able to login with valid credentials","Test Case Description:Verifying user is able to login with valid credentials "
"skipped","Sun Jun 11 21:36:26 PDT 2023","Sun Jun 11 21:36:26 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.HomePageTest","com.dsalgo.qa.testcase.HomePageTest","ValidateUserLandedLoginPageClickingLoginBtn","Clicking on Login link on Home Page","Clicking on Login link on Home Page"
"skipped","Sun Jun 11 21:36:47 PDT 2023","Sun Jun 11 21:36:47 PDT 2023","3","Suite","Test","com.dsalgo.qa.testcase.SignInPageTest","com.dsalgo.qa.testcase.SignInPageTest","ClickSignoutLnkValidationTest","ClickSignoutLnkValidationTest",""
"broken","Sun Jun 11 21:36:50 PDT 2023","Sun Jun 11 21:36:50 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.RegisterPageTest","com.dsalgo.qa.testcase.RegisterPageTest","setup","setup",""
"skipped","Sun Jun 11 21:36:51 PDT 2023","Sun Jun 11 21:36:51 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.RegisterPageTest","com.dsalgo.qa.testcase.RegisterPageTest","ClickRegisterBtnWithEmptyFieldsTest","ClickRegisterBtnWithEmptyFieldsTest",""
"broken","Sun Jun 11 21:36:52 PDT 2023","Sun Jun 11 21:36:52 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.DataStructurePageTest","com.dsalgo.qa.testcase.DataStructurePageTest","setUp","setUp",""
"skipped","Sun Jun 11 21:36:27 PDT 2023","Sun Jun 11 21:36:27 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.SignInPageTest","com.dsalgo.qa.testcase.SignInPageTest","ClickRegisterLnkSignInPageValidationTest","ClickRegisterLnkSignInPageValidationTest","User is clicking on Register link on SignIn Page and validating title of the page"
"broken","Sun Jun 11 21:36:54 PDT 2023","Sun Jun 11 21:36:54 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.GraphPageTest","com.dsalgo.qa.testcase.GraphPageTest","setUp","setUp",""
"skipped","Sun Jun 11 21:36:52 PDT 2023","Sun Jun 11 21:36:52 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.DataStructurePageTest","com.dsalgo.qa.testcase.DataStructurePageTest","DataStructureValidationTest","DataStructureValidationTest",""
"skipped","Sun Jun 11 21:36:54 PDT 2023","Sun Jun 11 21:36:54 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.LinkedListPageTest","com.dsalgo.qa.testcase.LinkedListPageTest","VerifyUserLandedLinkedListPage","Linked list page verification","Linked list page verification"
